id	filename	md5	size	state
7069c071-1fef-4c6f-b741-c67ee56619bb	G35154.TCGA-CS-6669-01A-11D-1893-08.5.bam	0a0730c019055b80406ba441703bc0b4	260080596322	live
1ab4fe08-6067-42db-94b9-7cf6729b1dba	G35154.TCGA-TM-A7CF-02A-11D-A32B-08.4.bam	7659772c8676c51a17a32be3cda86be7	256221451852	live
f0537710-8458-4890-8a52-3f4457eb308f	G35154.TCGA-DU-6401-01A-11D-1705-08.2.bam	e0dd47f5956f4bc14a35f61d2944683d	250203284563	live
77a6b9b7-4a25-4784-95e5-98346720dcef	G35154.TCGA-HW-7486-01A-11D-2024-08.6.bam	02daa31134ce87f3e2d65c1250c38797	249811516204	live
fdc7bab5-c807-4791-be95-6a588e86a4b8	G35154.TCGA-HT-7602-01A-21D-2086-08.4.bam	0bf58603796d8850dfe162a5219e6f10	246051155281	live
359efa91-062f-491e-805a-0130efb943eb	G35154.TCGA-DU-5872-01A-11D-A465-08.1.bam	344258f056f7f6a1d9a8a038c3b6f010	245560593156	live
19c19563-8424-46b9-b88c-72e6dcc4ec23	G35154.TCGA-FG-A4MT-01A-11D-A461-08.3.bam	432ba4f4b66f9aaeff60cd942ce88155	239406110126	live
3bc46ccf-d9f8-41bd-a003-42e547c7d758	G35154.TCGA-TQ-A8XE-01A-11D-A36O-08.2.bam	57acbd04c826970c31d1b74e094c820a	233703948576	live
85f4a2b5-246f-41da-9777-57d2ceaf1b70	G35154.TCGA-HT-8104-01A-11D-A461-08.2.bam	2cbaa6b5e540ba0f65afd8c889332fd3	232693304650	live
24c6f54a-e7a2-4148-8335-045e3c74096e	G35154.TCGA-DU-6397-01A-11D-A461-08.3.bam	a399d24d1f5631c4b7adb95bc56f8bd3	231594682782	live
83a061e8-88d1-4f4e-8568-8eda2807ad1a	G35154.TCGA-DU-5872-02A-21D-A36O-08.1.bam	ab3dbe121b9b00c6f7dd7b91c0532296	230238363133	live
